Country,Date,Total Cases,New Cases,Total Deaths,New Deaths,Total Cases/Million,Total Deaths/Million,ICU Patients/Million,Hospital Patients/Million,Total Tests/Million,New tests/Million,Positive Rate,Total Vaccinations,People Vaccinated,People Fully Vaccinated,New Vaccinations,Population,GDP / capita
Afghanistan,18/02/2021,55557,17,2430,2,1427.161,62.422,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,18/03/2021,56044,28,2462,2,1439.671,63.244,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,18/04/2021,57793,72,2539,0,1484.6,65.222,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,19/01/2021,54141,79,2346,3,1390.786,60.265,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,19/02/2021,55575,18,2430,0,1427.623,62.422,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,19/03/2021,56069,25,2462,0,1440.313,63.244,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,19/04/2021,57898,105,2546,7,1487.297,65.402,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,20/01/2021,54278,137,2354,8,1394.306,60.47,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,20/02/2021,55580,5,2430,0,1427.752,62.422,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,20/03/2021,56093,24,2462,0,1440.93,63.244,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,20/04/2021,58037,139,2549,3,1490.868,65.479,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,21/01/2021,54403,125,2363,9,1397.517,60.701,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,21/02/2021,55604,24,2432,2,1428.368,62.474,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,21/03/2021,56103,10,2463,1,1441.187,63.27,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,21/04/2021,58214,177,2557,8,1495.414,65.685,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,22/01/2021,54483,80,2370,7,1399.572,60.881,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,22/02/2021,55617,13,2433,1,1428.702,62.499,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,22/03/2021,56153,50,2464,1,1442.471,63.296,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,22/04/2021,58312,98,2561,4,1497.932,65.788,0,0,0,0,0,240000,240000,0,0,38928341,1803.987
Afghanistan,23/01/2021,54559,76,2373,3,1401.524,60.958,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,23/02/2021,55646,29,2435,2,1429.447,62.551,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,23/03/2021,56177,24,2466,2,1443.087,63.347,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,23/04/2021,58542,230,2565,4,1503.84,65.89,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,24/01/2021,54595,36,2378,5,1402.449,61.087,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,24/02/2021,55664,18,2436,1,1429.909,62.577,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,24/03/2021,56192,15,2466,0,1443.473,63.347,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,24/04/2021,58730,188,2572,7,1508.669,66.07,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,25/01/2021,54672,77,2385,7,1404.427,61.266,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,25/02/2021,55680,16,2438,2,1430.32,62.628,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,25/03/2021,56226,34,2467,1,1444.346,63.373,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,25/04/2021,58843,113,2582,10,1511.572,66.327,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,26/01/2021,54750,78,2389,4,1406.43,61.369,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,26/02/2021,55696,16,2442,4,1430.731,62.731,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,26/03/2021,56254,28,2467,0,1445.065,63.373,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,26/04/2021,59015,172,2592,10,1515.991,66.584,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,27/01/2021,54854,104,2389,0,1409.102,61.369,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,27/02/2021,55707,11,2443,1,1431.014,62.756,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,27/03/2021,56290,36,2469,2,1445.99,63.424,0,0,0,0,0,0,0,0,0,38928341,1803.987
Afghanistan,27/04/2021,59225,210,2598,6,1521.385,66.738,0,0,0,0,0,0,0,0,0,38928341,1803.987
